productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83452,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83452_200w.jpg,3,1379,https://cpt.tcgcsv.com/3pH,2024-04-11T17:54:54.317,1,18/110,Rare,Darkness,70,Basic,[1] Foresight - Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.,[1D] Overrun (10) Choose 1 of your opponent's Benched Pokemon.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),F,P,1,2.0,4.0,6.38,4.28,,Normal,
83452,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83452_200w.jpg,3,1379,https://cpt.tcgcsv.com/3pH,2024-04-11T17:54:54.317,1,18/110,Rare,Darkness,70,Basic,[1] Foresight - Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.,[1D] Overrun (10) Choose 1 of your opponent's Benched Pokemon.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),F,P,1,16.8,46.41,48.56,31.93,,Reverse Holofoil,
83472,Aerodactyl (Delta Species),Aerodactyl Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83472_200w.jpg,3,1379,https://cpt.tcgcsv.com/spH,2024-04-11T17:54:54.35,1,35/110,Uncommon,Fire,70,Stage 1,"[1R] Granite Head (30) During your opponent's next turn, any damage done to Aerodactyl by attacks is reduced by 10 (after applying Weakness and Resistance).",,L,F,0,2.75,4.5,7.65,5.37,,Normal,"Primal Light - Once during your turn (before your attack), you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)"
83472,Aerodactyl (Delta Species),Aerodactyl Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83472_200w.jpg,3,1379,https://cpt.tcgcsv.com/spH,2024-04-11T17:54:54.35,1,35/110,Uncommon,Fire,70,Stage 1,"[1R] Granite Head (30) During your opponent's next turn, any damage done to Aerodactyl by attacks is reduced by 10 (after applying Weakness and Resistance).",,L,F,0,16.2,24.29,32.37,43.49,,Reverse Holofoil,"Primal Light - Once during your turn (before your attack), you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)"
83562,Anorith (Delta Species),Anorith Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83562_200w.jpg,3,1379,https://cpt.tcgcsv.com/grH,2024-04-11T17:54:54.38,1,57/110,Common,Metal,70,Stage 1,[M] Metal Claw (20),"[3] Rising Lunge (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",G,,1,0.15,0.51,6.28,0.52,,Normal,
83562,Anorith (Delta Species),Anorith Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83562_200w.jpg,3,1379,https://cpt.tcgcsv.com/grH,2024-04-11T17:54:54.38,1,57/110,Common,Metal,70,Stage 1,[M] Metal Claw (20),"[3] Rising Lunge (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",G,,1,3.99,4.05,12.99,12.44,,Reverse Holofoil,
83622,Armaldo (Delta Species),Armaldo Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83622_200w.jpg,3,1379,https://cpt.tcgcsv.com/ssH,2024-04-11T17:54:54.427,1,1/110,Holo Rare,Fighting Metal,110,Stage 2,"[1M] Delta Edge (70) If you have any supporter cards in play, this attack's base damage is 20 instead of 70.","[2F] Fossil Charge (50) You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand.  If you do, choose 1 of your opponent's Benched Pokemon and do 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",G,,3,8.59,11.07,99.99,12.31,,Holofoil,
83622,Armaldo (Delta Species),Armaldo Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83622_200w.jpg,3,1379,https://cpt.tcgcsv.com/ssH,2024-04-11T17:54:54.427,1,1/110,Holo Rare,Fighting Metal,110,Stage 2,"[1M] Delta Edge (70) If you have any supporter cards in play, this attack's base damage is 20 instead of 70.","[2F] Fossil Charge (50) You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand.  If you do, choose 1 of your opponent's Benched Pokemon and do 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",G,,3,24.51,67.76,111.0,31.25,,Reverse Holofoil,
83633,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83633_200w.jpg,3,1379,https://cpt.tcgcsv.com/HsH,2024-04-11T17:54:54.46,1,58/110,Common,Metal,40,Basic,[1] Mud Slap (10),[1M] Metal Claw (20),R,G,1,0.12,0.35,1.99,0.55,0.2,Normal,
83633,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83633_200w.jpg,3,1379,https://cpt.tcgcsv.com/HsH,2024-04-11T17:54:54.46,1,58/110,Common,Metal,40,Basic,[1] Mud Slap (10),[1M] Metal Claw (20),R,G,1,4.47,5.22,9.99,5.4,,Reverse Holofoil,
83714,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83714_200w.jpg,3,1379,https://cpt.tcgcsv.com/jvH,2024-04-11T17:54:54.51,1,59/110,Common,Psychic,50,Basic,[1] Ram (10),[1P] Doubleslap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P,,1,0.08,0.25,1.99,0.22,0.13,Normal,
83714,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83714_200w.jpg,3,1379,https://cpt.tcgcsv.com/jvH,2024-04-11T17:54:54.51,1,59/110,Common,Psychic,50,Basic,[1] Ram (10),[1P] Doubleslap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P,,1,2.2,2.65,14.99,2.79,,Reverse Holofoil,
83728,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83728_200w.jpg,3,1379,https://cpt.tcgcsv.com/BvH,2024-04-11T17:54:54.577,1,60/110,Common,Fighting,50,Basic,[1] Waterfall (10),[F] Flail (10x) Does 10 damage times the number of damage counters on Barboach.,G,,1,0.04,0.25,1.99,0.24,0.2,Normal,
